location,year,age0_cpue,lsaug_cpue,lbass_cpue,lcrap_cpue,secchi,sto_length_mm,sto_dens_ha,sto_doy,growth,size_ha,AvgSpWTemp,AvgSuWTemp
Acton,2005,85.66666667,2.6875,62.66666667,2.323529412,56.85714286,30.98029444,3784.357865,147.8449477,0.235384187,240,21.19344262,27.66532258
Acton,2006,26.5,1.90625,48,0.137931034,38,35.65625,406.2780235,138.3229167,0.290248577,240,18.50554098,25.84550403
Acton,2010,10,1.599959739,62.66666667,1.266666667,55,27.14705882,406.4783784,135,0.249523927,240,19.83292828,26.63444825
Acton,2011,3.666666667,0.12950036,60,2.766666667,51.66666667,27.47409202,279.0443055,139.375,0.402183371,240,17.18569194,26.07065457
Acton,2013,18,1.644102681,31.71428571,3.1,55.66666667,30.31848431,504.2933167,136.9590798,0.235489828,240,19.61821277,24.52254435
Acton,2014,10,1.55255785,30,2.4,73.33333333,30.93138993,762.9014211,141.6734238,0.268812808,240,20.00756489,24.7838041
Acton,2015,6,2.319923638,35.33333333,2.45,50.39130435,25,182.7069847,147.3819444,0.09354291,240,20.24943033,23.34330309
Acton,2016,18.5,1.825476745,44,2.1,61.66666667,28,227.9287582,134.3194444,0.349239042,240,20.68242111,27.21471505
Acton,2017,16.33333333,3.112887796,125.3333333,2.275,76.5,30,506.4680024,138.375,0.246405896,240,19.28645936,24.41492473
Acton,2018,18.66666667,0.965629861,36.8,4,78,30.5852359,189.5900108,145.3333333,0.353052602,240,22.62274078,26.34850067
Acton,2019,12.36363636,4.501936863,26.33333333,1.333333333,56.66666667,27,719.7499816,143.2708333,0.362235257,240,19.20085895,26.48374866
Alum Creek,2006,26.66666667,0.7462984,24.44444444,3.323529412,164.5,31.72348182,771.7898824,146.8628936,0.235463583,1349,19.08319262,26.02255645
Alum Creek,2007,26.54545455,0.584621977,25.55555556,7.366666667,225,30.73721075,791.2911741,145.20587,0.236262599,1349,19.87861066,25.29865323
Alum Creek,2011,38.33333333,0.695585334,26.66666667,2.666666667,126.5,30,238.8218337,143.3194444,0.276775569,1349,18.64587295,27.08064113
Alum Creek,2012,38,0.888090723,28,1.833333333,131,26.74987367,248.0947394,133.8773581,0.350591955,1349,21.10587329,26.1774953
Alum Creek,2013,38.66666667,0.808348824,23.55555556,2.529411765,86,28.85699607,251.2460437,137.0933365,0.352531876,1349,19.05850512,24.93254099
Alum Creek,2015,26.83333333,2.466611645,23.55555556,1.35,181,28.2948478,247.7238232,139.5640498,0.253713129,1349,19.62139344,24.84769556
Dillon,2011,47.5,0.023255814,31.69047619,1.8,57,28.83048396,380.7243065,140.375,0.306099028,518,20.69454918,27.33748656
Dillon,2012,27.25,0.176720801,20.99632353,1.233333333,61,28.21285982,372.7064548,136.375,0.378263434,518,22.08514583,26.99021337
Dillon,2013,17.06666667,0.191664434,32.33333333,1.866666667,61,28.20469381,778.4348665,139.8968014,0.312846207,518,21.68025342,24.01396976
Dillon,2017,54.5,0.607924896,16,5.733333333,27.5,35.5938271,472.9798332,131.925547,0.313428278,518,21.20328962,25.18144825
Dillon,2018,96.5,1.021609372,39.33333333,3.517241379,56,29,148.5698258,138.3333333,0.238631924,518,22.08401605,26.55980108
Dillon,2019,179.25,1.092365142,50.66666667,0.9,64.33333333,28.473092,518.544415,136.2147325,0.245505435,518,20.35195287,26.03981015
Hoover,2006,11.83333333,0.990281577,31.05882353,1.888888889,65.5,29.22246755,580.4554163,137.4166667,0.370712381,1168,19.21045902,25.90565726
Hoover,2007,29.45454545,1.513654107,31.55555556,1.64,87,30.75801784,637.2482998,142.3956096,0.317583489,1168,20.17829235,25.46464785
