location,year,age0_cpue,lsaug_cpue,lbass_cpue,lcrap_cpue,secchi,sto_length_mm,sto_dens_ha,sto_doy,growth,rts,size_ha,max_depth_m,size
ACTON LAKE,2005,85.66666667,0.5,25.66666667,5.705882353,56.85714286,30.98029444,3784.357865,147.8449477,0.235384187,,240,9.5,
ACTON LAKE,2006,26.5,1.125,27.2,9.655172414,38,35.65625,406.2780235,138.3229167,0.290248577,B,240,9.5,1
ACTON LAKE,2010,10,1.342023494,25.33333333,8.5,55,27.14705882,406.4783784,135,0.249523927,A,240,9.5,1
ACTON LAKE,2011,3.666666667,0.12950036,30,10.7,51.66666667,27.47409202,279.0443055,139.375,0.402183371,B,240,9.5,1
ACTON LAKE,2013,18,0.870191101,25.42857143,12.925,55.66666667,30.31848431,504.2933167,136.9590798,0.235489828,A,240,9.5,1
ACTON LAKE,2014,10,1.045861228,20,20.325,73.33333333,30.93138993,762.9014211,141.6734238,0.268812808,B,240,9.5,1
ACTON LAKE,2015,6,1.874609056,38.66666667,20.55,50.39130435,25,182.7069847,147.3819444,0.09354291,B,240,9.5,1
ACTON LAKE,2016,18.5,1.61537793,17.5,13.85,61.66666667,28,227.9287582,134.3194444,0.349239042,A,240,9.5,1
ACTON LAKE,2017,16.33333333,3.055744939,32,6.8,76.5,30,506.4680024,138.375,0.246405896,B,240,9.5,1
ACTON LAKE,2018,18.66666667,0.816683713,28.8,41,78,30.5852359,189.5900108,145.3333333,0.353052602,B,240,9.5,1
ACTON LAKE,2019,12.36363636,4.501936863,17,2.5,56.66666667,27,719.7499816,143.2708333,0.362235257,B,240,9.5,1
ALUM CREEK LAKE,2006,26.66666667,0.633958513,8.666666667,3.147058824,164.5,31.72348182,771.7898824,146.8628936,0.235463583,B,1349,21,4
ALUM CREEK LAKE,2007,26.54545455,0.462930779,12.22222222,7.133333333,225,30.73721075,791.2911741,145.20587,0.236262599,B,1349,21,4
ALUM CREEK LAKE,2011,38.33333333,0.49599517,8,3.133333333,126.5,30,238.8218337,143.3194444,0.276775569,B,1349,21,4
ALUM CREEK LAKE,2012,38,0.80487265,5.777777778,2.533333333,131,26.74987367,248.0947394,133.8773581,0.350591955,A,1349,21,4
ALUM CREEK LAKE,2013,38.66666667,0.659369232,4.444444444,3.735294118,86,28.85699607,251.2460437,137.0933365,0.352531876,A,1349,21,4
